Datetime,Actual,Predicted,Error,Abs Error,Pct Error (%)
2025-10-03 03:00,120225.89,116960.35,3265.5384374999994,3265.5384374999994,2.7161690693244185
2025-10-03 07:00,119640.21,117558.29,2081.9209375000064,2081.9209375000064,1.7401515238898415
2025-10-03 11:00,120334.5,118056.33,2278.171875,2278.171875,1.893199269536168
2025-10-03 15:00,122258.05,117892.11,4365.940625000003,4365.940625000003,3.5710864233479946
2025-10-03 19:00,122660.99,118333.98,4327.013437500005,4327.013437500005,3.5276198549351387
2025-10-03 23:00,122232.0,119326.77,2905.2265625,2905.2265625,2.3768134060638784
2025-10-04 03:00,122243.99,119719.4,2524.5915625000052,2524.5915625000052,2.065207101387974
2025-10-04 07:00,122324.08,119486.75,2837.3300000000017,2837.3300000000017,2.319518773409129
2025-10-04 11:00,121973.26,119183.3,2789.9631249999948,2789.9631249999948,2.2873563640096157
2025-10-04 15:00,121791.31,119002.875,2788.4349999999977,2788.4349999999977,2.2895188499080907
2025-10-04 19:00,121959.25,119735.91,2223.34375,2223.34375,1.8230218290125597
2025-10-04 23:00,122391.0,121399.04,991.9609375,991.9609375,0.8104851970324616
2025-10-05 03:00,123776.22,121996.07,1780.1496875000012,1780.1496875000012,1.4382000738914156
2025-10-05 07:00,124713.63,121101.57,3612.0596875000047,3612.0596875000047,2.8962830185441675
2025-10-05 11:00,123464.64,121062.58,2402.0618749999994,2402.0618749999994,1.9455464131268672
2025-10-05 15:00,122803.17,121099.57,1703.5996874999983,1703.5996874999983,1.3872603512596606
2025-10-05 19:00,122591.79,120858.74,1733.0478124999936,1733.0478124999936,1.4136736338542684
2025-10-05 23:00,123482.31,120805.93,2676.3803124999977,2676.3803124999977,2.167420023564507
2025-10-06 03:00,123839.09,120939.04,2900.0509374999965,2900.0509374999965,2.341789605769872
2025-10-06 07:00,123390.47,121639.164,1751.3059375000012,1751.3059375000012,1.4193202582825086
